1	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
6	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
11	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
2	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
7	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
12	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
3	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
8	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
13	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
4	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
9	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
14	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
5	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
10	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
15	42	123456789012345	1	Teltonika1	Aktif	3.5	-6.200000	106.816666	2024-10-01 14:07:03.597887	INSERT
1	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
6	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
11	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
2	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
7	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
12	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
3	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
8	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
13	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
4	43	987654321098765	2	Teltonika2	Non-Aktif	4.0	-7.250000	112.750000	2024-10-01 14:07:03.597887	INSERT
