1	1	-6.200000	106.816666	-6.500000	107.000000
2	2	-7.250000	112.750000	-7.800000	113.500000
3	3	-6.914744	107.609810	-6.500000	108.000000
4	4	-7.559722	110.821389	-8.200000	111.000000
5	5	-6.990000	110.420000	-7.500000	111.250000
6	1	-6.200000	106.816666	-6.500000	107.000000
7	2	-7.250000	112.750000	-7.800000	113.500000
8	3	-6.914744	107.609810	-6.500000	108.000000
9	4	-7.559722	110.821389	-8.200000	111.000000
10	5	-6.990000	110.420000	-7.500000	111.250000
11	1	-6.200000	106.816666	-6.500000	107.000000
12	2	-7.250000	112.750000	-7.800000	113.500000
13	3	-6.914744	107.609810	-6.500000	108.000000
14	4	-7.559722	110.821389	-8.200000	111.000000
15	5	-6.990000	110.420000	-7.500000	111.250000
\.


